스키마,테이블,행수,컬럼수
dbo,ContractMst_CT2021050006,1,34
dbo,ContractMst_CT2021050013,1,34
dbo,ContractMst_20210528,1,34
dbo,ContractMst_20220112,1,34
dbo,Deadline,1,8
dbo,CallNotice,1,6
dbo,sqlTableRemark,1,2
dbo,SchLecturer,0,9
dbo,ShareMemo,0,9
dbo,SubjSchedule,0,9
dbo,SubCost,0,14
dbo,sysdiagrams,0,5
dbo,t_bizLoc,0,5
dbo,t_employee,0,4
dbo,t_product,0,5
dbo,t_vendor,0,5
dbo,tblRandCode,0,1
dbo,CalBalance_commission,0,9
dbo,ChargeType,0,9
dbo,GA_BOARD_REPLY,0,9
dbo,EduMat,0,10
dbo,EduMatCal,0,12
dbo,LandRequests,0,33
dbo,HappyDetail,0,12
dbo,RegSubjInfo,0,8
dbo,monPerTagetMng,0,14
dbo,OpenSubj,0,10
